Player,Season,Age,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,MV_Change,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest,Future_Performance,Expected_Future_Performance,Expected_Future_Performance_Log_MV1
Allan Nyom,2018,0.7395740941382024,0.608453130077421,-0.9949245252700988,-1.2229070998663865,-0.3286039784977462,-0.4627025455457813,-0.5151426929932572,0.0,29,0.4603541104684028,0.9949245252700988,-0.4603541104684027,1,0,0,0,0.9949245252700988,0.0,0.0,0.0,-0.5771665281483427,-0.5745121011588976,0.2658282116530773
Allan Nyom,2019,0.997597145637911,-0.069903378612385,-0.5771665281483427,-0.5224322978879041,-0.3286039784977462,-0.6630973713743571,-0.8458390670604021,-0.1541506798272582,30,0.3827176076604299,0.5771665281483427,-0.3827176076604299,1,0,0,0,0.5771665281483427,0.0,0.0,0.0,-1.3674442003445006,-0.39751632859991265,0.26359203257298724
Allan Nyom,2020,1.2556201971376195,0.7346589921592453,-1.3674442003445006,-0.0800271597962315,-0.4256089472571699,-0.6630973713743571,-0.7932016033155389,-0.0896121586896872,31,0.906748654749548,1.3674442003445006,-0.906748654749548,1,0,0,0,1.3674442003445006,0.0,0.0,0.0,-1.113739783057183,-0.5571563301258889,0.3694488979510605
Almamy Touré,2018,-1.3246103178594664,-0.5882488835913066,-0.1788669747538515,1.173454064796852,-0.5967941862443882,-0.5566211919099272,-0.0458770701740098,0.6931471805599452,21,0.0995611486808116,0.1788669747538515,-0.0995611486808116,1,0,0,0,0.1788669747538515,0.0,0.0,0.0,0.5197142662502948,0.042196102093867066,-0.023487244641441262
Almamy Touré,2019,-1.0665872663597578,-1.409713825177467,0.5197142662502948,0.1903315357042265,-0.5539978764975836,-0.0039147298415419,-0.2152272403184974,-0.2076393647782444,22,-0.0020345409471651,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.283494915829474,0.07965855324805658,-0.00031184171553422154
Almamy Touré,2020,-0.8085642148600493,-0.3144272363959198,0.283494915829474,-0.3421931675542771,-0.5539978764975836,-0.1694836334039871,-0.2152272403184974,0.0,23,-0.0480477483863367,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.435408233816717,-0.042215816288797794,0.007154889931740672
Ambroise Oyongo,2018,-0.0344950603609234,-1.7680483264455042,-1.8131702566560155,-0.1906284443191464,-0.5967941862443882,-1.8914280238988173,-1.9764974380139395,0.0,26,3.429481035538999,1.8131702566560155,-3.429481035538999,0,0,0,0,0.0,0.0,0.0,0.0,-1.0553298310120638,-0.9759472538378213,1.8459339857559478
Ambroise Oyongo,2019,0.2235279911387852,0.4123833086288724,-1.0553298310120638,0.1043083144086348,-0.5967941862443882,-1.3387215618304322,-0.6112062556507785,0.9808292530117262,27,1.4127927996187162,1.0553298310120638,-1.4127927996187162,0,0,0,0,0.0,0.0,0.0,0.0,-1.1741146170656305,-0.431672098484709,0.5778887458820698
Ambroise Oyongo,2020,0.4815510426384938,0.0574293215237413,-1.1741146170656305,-0.23592655914418,-0.5967941862443882,-0.6630973713743571,-0.9021094883148224,-0.2231435513142099,28,0.7785523162684292,1.1741146170656305,-0.7785523162684295,1,0,0,0,1.1741146170656305,0.0,0.0,0.0,-0.1659484901466005,-0.5680607299143693,0.3766795767872169
Ander Capa,2018,-0.292518111860632,0.5476038751451128,0.15933486682944,-0.5224322978879042,-0.5967941862443882,-0.3786894535443177,-0.8458390670604021,-0.5108256237659905,25,-0.0603384336501973,0.0,-0.0,1,0,0,0,0.0,0.0,0.0,0.0,-0.4359411462733553,-0.1690169149788966,0.06400492317310476
Ander Capa,2019,-0.0344950603609234,-0.1442746901963172,-0.4359411462733553,-0.4486981082059575,-0.4256089472571699,-0.7860150997620469,-0.8458390670604021,0.0,26,0.3426563235784324,0.4359411462733553,-0.3426563235784324,0,0,0,0,0.0,0.0,0.0,0.0,0.0462723229159145,-0.3598058010603435,0.2828127926154091
Ander Capa,2020,0.2235279911387852,1.2417361165951468,0.0462723229159145,-0.1906284443191505,-0.4256089472571699,-0.0553768993280522,-0.2805098815836335,-0.2231435513142097,27,-0.0025624177677897,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,-0.1271843087452866,-0.04459544333786681,0.0024695573762109064
Andoni Gorosabel,2018,-1.582633369359175,-1.9089030832332543,-2.750553492418075,-0.043160064955256,-0.5967941862443882,-2.945378778549078,-1.7418646266043158,1.6094379124341005,20,8.10142188583225,2.750553492418075,-8.10142188583225,0,0,0,0,0.0,0.0,0.0,0.0,-1.1705296364394575,-1.2472723982939113,3.6736896530048995
Andoni Gorosabel,2019,-1.3246103178594664,-1.4818314606527954,-1.1705296364394575,-0.3380968236830394,-0.5967941862443882,-0.931395915612703,-1.411168252537171,-0.5108256237659907,21,1.090226522483333,1.1705296364394575,-1.0902265224833327,0,0,0,0,0.0,0.0,0.0,0.0,-0.3007703906885311,-0.7196551449511056,0.6702838626571275
Andoni Gorosabel,2020,-1.0665872663597578,-1.1899804045885765,-0.3007703906885311,-0.0062929701142857,-0.5967941862443882,-1.1093276539783123,-1.3585307887923077,-0.2231435513142096,22,0.3336529118886486,0.3007703906885311,-0.3336529118886486,0,0,0,0,0.0,0.0,0.0,0.0,-0.291880156422627,-0.370880521739525,0.41142801908755977
