Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Ambroise Oyongo,Montpellier,28,Cameroon,2019/2020,3500000.0,2800000.0,Wing-Back,fr Ligue 1,21,21,1821.0,20.2,-0.2756794940839046,-0.5135300806574243,-0.9510211171629954,0.6852588163911353,-0.47541787775746225
Ambroise Oyongo,Montpellier,29,Cameroon,2020/2021,2500000.0,2200000.0,Wing-Back,fr Ligue 1,13,5,558.0,6.2,0.14330517158184056,0.010088725410866334,-0.29045468714915074,-0.11049802959379995,-0.067195210634314
Ander Capa,Eibar,25,Spain,2017/2018,5000000.0,3000000.0,Wing-Back,es La Liga,33,25,2256.0,25.1,0.07848933157107135,-0.20118521537569775,0.43839055409996586,-0.6216994129735808,0.06451724826502692
Ander Capa,Athletic Club,26,Spain,2018/2019,3000000.0,3000000.0,Wing-Back,es La Liga,25,17,1642.0,18.2,-0.11483294076958646,-0.7532201253932936,0.02389084967866273,0.37873540013996015,-0.1765195761776714
Ander Capa,Athletic Club,27,Spain,2019/2020,7500000.0,6000000.0,Wing-Back,es La Liga,35,32,2872.0,31.9,0.7470540732744553,-0.6209633646087932,-0.1055372444586884,-0.13200938074044632,0.01873640719555271
Ander Capa,Athletic Club,28,Spain,2020/2021,5000000.0,6000000.0,Wing-Back,es La Liga,28,25,2131.0,23.7,0.13816981934023512,-0.27315990895704684,-0.1113092726872514,0.1429830627565021,-0.05149897060207895
Andoni Gorosabel,Real Sociedad,20,Spain,2017/2018,200000.0,1000000.0,Wing-Back,es La Liga,2,1,76.0,0.8,-2.364829967439241,0.8537319162992539,-1.458637029978094,-1.0720434183735257,-1.1137433134866441
Andoni Gorosabel,Real Sociedad,21,Spain,2018/2019,2500000.0,1500000.0,Wing-Back,es La Liga,7,6,455.0,5.1,-0.7227325034906683,0.1989606005367765,-0.6627523675477094,-0.7492333193265601,-0.47396626148736065
Andoni Gorosabel,Real Sociedad,22,Spain,2019/2020,2000000.0,1600000.0,Wing-Back,es La Liga,14,8,714.0,7.9,-0.1465188867122212,-0.3917824438050679,0.3920826191612987,-1.1711440464083887,-0.12178676489931765
Andoni Gorosabel,Real Sociedad,23,Spain,2020/2021,3000000.0,10000000.0,Wing-Back,es La Liga,32,28,2382.0,26.5,-0.48947306375809624,0.273721542118744,-0.45322601035407434,1.1885367105241553,-0.11818696616925334
Andrea Conti,Milan,23,Italy,2017/2018,10000000.0,15000000.0,Wing-Back,it Serie A,2,2,157.0,1.7,-0.12148467172129028,1.6444572092964047,-0.49918919979428467,2.3406495689538533,0.43401763777509983
Andrea Conti,Milan,24,Italy,2018/2019,14000000.0,15000000.0,Wing-Back,it Serie A,12,4,500.0,5.6,-0.2591482376531415,0.6986508828387142,-0.2978723625296006,0.7723954114392518,0.0699024636723011
