Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating
Ambroise Oyongo,Montpellier,28,Cameroon,2019/2020,3500000.0,2800000.0,Wing-Back,fr Ligue 1,21,21,1821.0,20.2,-0.4754178777574622,0.0442828286169387
Ambroise Oyongo,Montpellier,29,Cameroon,2020/2021,2500000.0,2200000.0,Wing-Back,fr Ligue 1,13,5,558.0,6.2,-0.067195210634314,-0.0499999999999973
Ander Capa,Eibar,25,Spain,2017/2018,5000000.0,3000000.0,Wing-Back,es La Liga,33,25,2256.0,25.1,0.0645172482650269,-0.1499999999999983
Ander Capa,Ath Bilbao,26,Spain,2018/2019,3000000.0,3000000.0,Wing-Back,es La Liga,25,17,1642.0,18.2,-0.1765195761776714,-0.0999999999999977
Ander Capa,Ath Bilbao,27,Spain,2019/2020,7500000.0,6000000.0,Wing-Back,es La Liga,35,32,2872.0,31.9,0.0187364071955527,0.0749999999999999
Ander Capa,Ath Bilbao,28,Spain,2020/2021,5000000.0,6000000.0,Wing-Back,es La Liga,28,25,2131.0,23.7,-0.0514989706020789,0.1000000000000002
Andoni Gorosabel,Sociedad,20,Spain,2017/2018,200000.0,1000000.0,Wing-Back,es La Liga,2,1,76.0,0.8,-1.113743313486644,0.1750000000000018
Andoni Gorosabel,Sociedad,21,Spain,2018/2019,2500000.0,1500000.0,Wing-Back,es La Liga,7,6,455.0,5.1,-0.4739662614873606,-0.0249999999999982
Andoni Gorosabel,Sociedad,22,Spain,2019/2020,2000000.0,1600000.0,Wing-Back,es La Liga,14,8,714.0,7.9,-0.1217867648993176,0.2
Andoni Gorosabel,Sociedad,23,Spain,2020/2021,3000000.0,10000000.0,Wing-Back,es La Liga,32,28,2382.0,26.5,-0.1181869661692533,0.5249999999999996
Andrea Conti,Milan,23,Italy,2017/2018,10000000.0,15000000.0,Wing-Back,it Serie A,2,2,157.0,1.7,0.4340176377750998,0.3500000000000109
Andrea Conti,Milan,24,Italy,2018/2019,14000000.0,15000000.0,Wing-Back,it Serie A,12,4,500.0,5.6,0.0699024636723011,0.4750000000000005
Andrea Conti,Milan,25,Italy,2019/2020,15000000.0,12000000.0,Wing-Back,it Serie A,23,21,1725.0,19.2,-0.0827781432826942,0.4250000000000023
Andrea Conti,Parma,26,Italy,2020/2021,10000000.0,4500000.0,Wing-Back,it Serie A,11,9,809.0,9.0,-0.0716028189409666,-1.0999999999999928
Andrew Robertson,Liverpool,23,Scotland,2017/2018,7000000.0,25000000.0,Wing-Back,eng Premier League,22,22,1940.0,21.6,0.4948719667856833,1.150000000000003
Andrew Robertson,Liverpool,24,Scotland,2018/2019,35000000.0,60000000.0,Wing-Back,eng Premier League,36,36,3216.0,35.7,0.433893147699834,1.6750000000000018
Andrew Robertson,Liverpool,25,Scotland,2019/2020,80000000.0,64000000.0,Wing-Back,eng Premier League,36,34,3111.0,34.6,0.5427304259378726,1.3000000000000054
Andrew Robertson,Liverpool,26,Scotland,2020/2021,75000000.0,65000000.0,Wing-Back,eng Premier League,38,38,3383.0,37.6,-0.1345001927402899,0.6499999999999976
Antonio Barragán,Betis,30,Spain,2017/2018,3000000.0,2500000.0,Wing-Back,es La Liga,29,28,2370.0,26.3,-0.0837986368517344,-0.0249999999999988
Antonio Barragán,Betis,31,Spain,2018/2019,2000000.0,2000000.0,Wing-Back,es La Liga,14,12,934.0,10.4,-0.4170124776254872,-0.1999999999999977
Antonio Barragán,Betis,32,Spain,2019/2020,2000000.0,1600000.0,Wing-Back,es La Liga,12,7,641.0,7.1,-0.2157059695596879,-0.3000000000000002
Antonio Barragán,Elche,33,Spain,2020/2021,1000000.0,800000.0,Wing-Back,es La Liga,27,26,2235.0,24.8,-0.4726651242809404,-0.5250000000000002
Antonio Barreca,Torino,22,Italy,2017/2018,4000000.0,3500000.0,Wing-Back,it Serie A,9,3,468.0,5.2,-0.3179279866287055,0.2000000000000118
Antonio Barreca,Monaco,23,Italy,2018/2019,8000000.0,7000000.0,Wing-Back,fr Ligue 1,7,7,593.0,6.6,-0.5578116595394644,-0.4749999999999985
Antonio Barreca,Genoa,24,Italy,2019/2020,4000000.0,3200000.0,Wing-Back,it Serie A,18,11,1095.0,12.2,-1.043398484791677,-0.6499999999999967
Antonio Barreca,Fiorentina,25,Italy,2020/2021,3000000.0,2000000.0,Wing-Back,it Serie A,3,1,85.0,0.9,-1.1947824059756125,-0.2999999999999929
Arthur Masuaku,West Ham,23,Democratic Republic of the Congo,2017/2018,7000000.0,7000000.0,Wing-Back,eng Premier League,27,21,1870.0,20.8,0.1340522151339079,-0.4999999999999964
Arthur Masuaku,West Ham,24,Democratic Republic of the Congo,2018/2019,7000000.0,7000000.0,Wing-Back,eng Premier League,23,19,1759.0,19.5,0.2707029779684365,-0.0749999999999992
Arthur Masuaku,West Ham,25,Democratic Republic of the Congo,2019/2020,10000000.0,6500000.0,Wing-Back,eng Premier League,17,10,937.0,10.4,0.2804128161583162,-0.3249999999999945
Arthur Masuaku,West Ham,26,Democratic Republic of the Congo,2020/2021,7500000.0,7000000.0,Wing-Back,eng Premier League,12,12,1006.0,11.2,0.0066608504302549,0.374999999999997
Ashley Young,Man United,32,England,2017/2018,5000000.0,7000000.0,Wing-Back,eng Premier League,30,28,2442.0,27.1,0.0473477454385614,1.0000000000000036
Ashley Young,Man United,33,England,2018/2019,7000000.0,5000000.0,Wing-Back,eng Premier League,30,28,2569.0,28.5,0.0448406681520123,0.2750000000000012
Ashley Young,Inter,34,England,2019/2020,4000000.0,3200000.0,Wing-Back,it Serie A,18,13,1185.0,13.2,0.1428795702446956,1.1250000000000029
Ashley Young,Inter,35,England,2020/2021,3000000.0,1000000.0,Wing-Back,it Serie A,26,16,1425.0,15.8,-0.418520121194877,1.350000000000007
