Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee
Andrew Robertson,Liverpool,24,Scotland,2018/2019,35.0,60.0,Wing-Back,eng Premier League,36,36,3216.0,35.7,0.433893147699834,1.6750000000000018,8.1
Andrew Robertson,Liverpool,25,Scotland,2019/2020,80.0,64.0,Wing-Back,eng Premier League,36,34,3111.0,34.6,0.5427304259378726,1.3000000000000054,8.1
Andrew Robertson,Liverpool,26,Scotland,2020/2021,75.0,65.0,Wing-Back,eng Premier League,38,38,3383.0,37.6,-0.1345001927402899,0.6499999999999976,8.1
Antonio Barragán,Betis,30,Spain,2017/2018,3.0,2.5,Wing-Back,es La Liga,29,28,2370.0,26.3,-0.0837986368517344,-0.0249999999999988,2.43
Antonio Barragán,Betis,31,Spain,2018/2019,2.0,2.0,Wing-Back,es La Liga,14,12,934.0,10.4,-0.4170124776254872,-0.1999999999999977,0.9
Antonio Barragán,Betis,32,Spain,2019/2020,2.0,1.6,Wing-Back,es La Liga,12,7,641.0,7.1,-0.2157059695596879,-0.3000000000000002,0.9
Antonio Barragán,Elche,33,Spain,2020/2021,1.0,0.8,Wing-Back,es La Liga,27,26,2235.0,24.8,-0.4726651242809404,-0.5250000000000002,0.0
Antonio Barreca,Torino,22,Italy,2017/2018,4.0,3.5,Wing-Back,it Serie A,9,3,468.0,5.2,-0.3179279866287055,0.2000000000000118,0.0
Antonio Barreca,Monaco,23,Italy,2018/2019,8.0,7.0,Wing-Back,fr Ligue 1,7,7,593.0,6.6,-0.5578116595394644,-0.4749999999999985,9.0
Antonio Barreca,Genoa,24,Italy,2019/2020,4.0,3.2,Wing-Back,it Serie A,18,11,1095.0,12.2,-1.043398484791677,-0.6499999999999967,9.0
Antonio Barreca,Fiorentina,25,Italy,2020/2021,3.0,2.0,Wing-Back,it Serie A,3,1,85.0,0.9,-1.1947824059756125,-0.2999999999999929,9.0
Arthur Masuaku,West Ham,23,Democratic Republic of the Congo,2017/2018,7.0,7.0,Wing-Back,eng Premier League,27,21,1870.0,20.8,0.1340522151339079,-0.4999999999999964,6.39
Arthur Masuaku,West Ham,24,Democratic Republic of the Congo,2018/2019,7.0,7.0,Wing-Back,eng Premier League,23,19,1759.0,19.5,0.2707029779684365,-0.0749999999999992,6.39
Arthur Masuaku,West Ham,25,Democratic Republic of the Congo,2019/2020,10.0,6.5,Wing-Back,eng Premier League,17,10,937.0,10.4,0.2804128161583162,-0.3249999999999945,6.39
Arthur Masuaku,West Ham,26,Democratic Republic of the Congo,2020/2021,7.5,7.0,Wing-Back,eng Premier League,12,12,1006.0,11.2,0.0066608504302549,0.374999999999997,6.39
Ashley Young,Man United,32,England,2017/2018,5.0,7.0,Wing-Back,eng Premier League,30,28,2442.0,27.1,0.0473477454385614,1.0000000000000036,16.2
Ashley Young,Man United,33,England,2018/2019,7.0,5.0,Wing-Back,eng Premier League,30,28,2569.0,28.5,0.0448406681520123,0.2750000000000012,16.2
Ashley Young,Inter,34,England,2019/2020,4.0,3.2,Wing-Back,it Serie A,18,13,1185.0,13.2,0.1428795702446956,1.1250000000000029,1.53
Ashley Young,Inter,35,England,2020/2021,3.0,1.0,Wing-Back,it Serie A,26,16,1425.0,15.8,-0.418520121194877,1.350000000000007,1.53
Bartosz Bereszyński,Sampdoria,25,Poland,2017/2018,2.0,12.0,Wing-Back,it Serie A,31,28,2480.0,27.6,0.0148600207395191,-0.0999999999999884,1.62
Bartosz Bereszyński,Sampdoria,26,Poland,2018/2019,11.0,10.0,Wing-Back,it Serie A,27,24,2200.0,24.4,0.050991980568072,0.2249999999999998,1.62
Bartosz Bereszyński,Sampdoria,27,Poland,2019/2020,8.0,6.5,Wing-Back,it Serie A,28,27,2402.0,26.7,-0.2172342661931549,-0.4249999999999964,1.62
