Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index,Team_Rating
David Ospina,Napoli,30,Colombia,2019/2020,3500000,2800000,Goalkeeper,it Serie A,17,17,1469.0,16.3,0.0796874588935046,-0.1747602349673192,-0.7574777351520257,0.5229351364836785,-0.1521733808306402,0.2750000000000023
David Ospina,Napoli,31,Colombia,2020/2021,4000000,5000000,Goalkeeper,it Serie A,16,16,1440.0,16.0,0.0335438846089498,-0.4194098644898095,0.0200416344219743,1.4019433231230254,0.0768944256547515,1.125000000000007
David Soria,Sevilla,24,Spain,2017/2018,1500000,4000000,Goalkeeper,es La Liga,15,15,1263.0,14.0,-0.7075066281907083,-0.2394357003507658,0.163896672042918,0.3312940302870912,-0.1700108796166519,-0.2249999999999982
David Soria,Getafe,25,Spain,2018/2019,3000000,15000000,Goalkeeper,es La Liga,37,37,3330.0,37.0,-0.9243321373158904,0.2245984687983859,1.131048240447745,0.5620617281630457,0.2145977490868557,0.3250000000000023
David Soria,Getafe,26,Spain,2019/2020,18000000,14500000,Goalkeeper,es La Liga,38,38,3420.0,38.0,-0.8113496365771463,-1.6515480424964488,1.5237406065387809,0.8720707246748378,-0.2691334636821227,0.1500000000000001
David Soria,Getafe,27,Spain,2020/2021,15000000,9000000,Goalkeeper,es La Liga,28,28,2520.0,28.0,-0.7197621509634298,-1.8639132835774368,1.6432852454994011,0.3860168710085874,-0.3635863449668217,-0.3750000000000001
David de Gea,Man United,26,Spain,2017/2018,40000000,70000000,Goalkeeper,eng Premier League,37,37,3330.0,37.0,-0.1954103948098179,1.3276131262611306,-0.3414690613093436,1.174364696006193,0.5065994345625342,1.0000000000000036
David de Gea,Man United,27,Spain,2018/2019,70000000,65000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.0950035685507612,0.3885571694805429,-0.2788830502576041,-0.5782751637145714,-0.044217919941087,0.2750000000000012
David de Gea,Man United,28,Spain,2019/2020,60000000,40000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,-0.6116304873537102,-0.0096225064878019,-1.2101766803624938,0.8239720467433825,-0.3352238621882742,0.7500000000000046
David de Gea,Man United,29,Spain,2020/2021,35000000,18000000,Goalkeeper,eng Premier League,26,26,2295.0,25.5,-0.8976688828257711,-0.6817178053343775,-1.1235123512828684,0.5303215175895527,-0.664348312755759,0.724999999999997
Ederson,Man City,23,Brazil,2017/2018,22000000,50000000,Goalkeeper,eng Premier League,36,36,3194.0,35.5,0.7081706057829852,-1.724738921995219,-0.8412406396605863,1.8365912533784916,-0.3614374431609532,1.9750000000000043
Ederson,Man City,24,Brazil,2018/2019,60000000,70000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.0137607939818547,-0.6402732462335662,-0.949298793775855,2.312852001671946,-0.1110523358794563,1.800000000000001
Ederson,Man City,25,Brazil,2019/2020,70000000,56000000,Goalkeeper,eng Premier League,35,35,3071.0,34.1,0.6511955840129985,-0.9023976815696054,-0.3515531365893993,1.7797194854714966,0.0260293461272624,1.675000000000006
Ederson,Man City,26,Brazil,2020/2021,56000000,50000000,Goalkeeper,eng Premier League,36,36,3240.0,36.0,-0.2140045456197652,-0.667025722562046,-0.2189082395159892,1.933699320711549,-0.0516323010739223,1.2749999999999977
Fernando Pacheco,Alaves,25,Spain,2017/2018,5000000,9000000,Goalkeeper,es La Liga,38,37,3360.0,37.3,-1.1465518130773718,0.9402254322439276,0.7340168452369472,-0.031302095702372,0.2212498449699126,-0.2499999999999984
Fernando Pacheco,Alaves,26,Spain,2018/2019,12000000,15000000,Goalkeeper,es La Liga,35,35,3150.0,35.0,-0.3952451862058205,-0.117132350564926,0.6283317011792143,-0.5381121081244383,-0.0634415101730414,-0.2749999999999981
