Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Mattia Perin,Genoa,24,Italy,2017/2018,15000000,16000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,-0.13346298670294318,0.9410349279285246,0.42685423105389336,-0.19424166040806665,0.3735737868015112
Mattia Perin,Juventus,25,Italy,2018/2019,15000000,13000000,Goalkeeper,it Serie A,9,9,810.0,9.0,-0.3316394006556121,-0.28361070533580096,-0.819070559091738,1.042374946497893,-0.23058499482968392
Mattia Perin,Genoa,26,Italy,2019/2020,10000000,8000000,Goalkeeper,it Serie A,21,21,1890.0,21.0,-0.12964887053227925,-0.4294226844652443,-0.40783312900898566,-0.8949012972260947,-0.41890363403206593
Mattia Perin,Genoa,27,Italy,2020/2021,7500000,7000000,Goalkeeper,it Serie A,32,32,2879.0,32.0,-0.17059775741469022,1.2170779059352765,0.18930053419095944,-0.5408453477384096,0.34952615911065266
Mike Maignan,Lille,21,France,2017/2018,800000,4000000,Goalkeeper,fr Ligue 1,34,34,3033.0,33.7,0.2135821840529224,-0.4300837223669864,1.2344763384031276,-0.5054536648316446,0.1356672780608206
Mike Maignan,Lille,22,France,2018/2019,7000000,17500000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.6697164792278198,-0.2849506135738135,1.41902684934333,1.1796548869200958,0.2645431108160572
Mike Maignan,Lille,23,France,2019/2020,22000000,17500000,Goalkeeper,fr Ligue 1,28,28,2520.0,28.0,-0.8159026010205174,-0.7539844212892597,0.6349151542476356,1.0209675947596617,-0.15599626993051205
Mike Maignan,Lille,24,France,2020/2021,20000000,25000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.36987450451352544,0.04892733554479976,-0.3423418667052432,1.9304604403251486,0.12863954068476008
Neto,Valencia,28,Brazil,2017/2018,6000000,15000000,Goalkeeper,es La Liga,33,33,2970.0,33.0,-1.072527654163901,1.8504944381314068,0.4551813658141177,0.6798070589613328,0.5953075401027464
Neto,Valencia,29,Brazil,2018/2019,18000000,18000000,Goalkeeper,es La Liga,34,34,3060.0,34.0,-1.0024377746890534,1.079398159987882,0.5371350514502106,0.37150161108818314,0.3171889168492754
Neto,Barcelona,30,Brazil,2019/2020,18000000,14500000,Goalkeeper,es La Liga,2,2,180.0,2.0,0.22428975908292592,-0.9404673047781302,-1.8001056631521803,0.8045253142612772,-0.6024387355504675
Neto,Barcelona,31,Brazil,2020/2021,10000000,6000000,Goalkeeper,es La Liga,7,7,630.0,7.0,-0.11502202887352503,0.23816022545020923,-0.5342917498221512,0.5937633971399137,0.010092143804641213
Oliver Baumann,Hoffenheim,27,Germany,2017/2018,7000000,10000000,Goalkeeper,de Bundesliga,34,34,3060.0,34.0,0.2407486032970264,-0.5935529661417154,0.9270589288605131,-0.15534201050283933,0.060907043314358617
Oliver Baumann,Hoffenheim,28,Germany,2018/2019,10000000,8000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,0.489577852803212,0.1696051282203531,0.7124654578473103,-0.8919412336310408,0.22608143749509804
Oliver Baumann,Hoffenheim,29,Germany,2019/2020,7000000,5500000,Goalkeeper,de Bundesliga,30,30,2700.0,30.0,0.34401799196674876,-0.2898090143630845,0.5376546605154103,-0.6572582937163857,0.020396264036002365
Oliver Baumann,Hoffenheim,30,Germany,2020/2021,5500000,5000000,Goalkeeper,de Bundesliga,31,31,2790.0,31.0,0.2964925610963745,-1.1126735935738568,0.45110702879780673,-0.691737644575259,-0.30629650696359334
Pau López,Espanyol,22,Spain,2017/2018,1500000,5000000,Goalkeeper,es La Liga,28,27,2478.0,27.5,-0.7926198454251375,1.502260760343364,1.2660378782746498,0.14558021935449753,0.66598280723573
Pau López,Betis,23,Spain,2018/2019,10000000,20000000,Goalkeeper,es La Liga,33,33,2970.0,33.0,0.462287197829108,-0.7054193734901548,0.5582275708610802,-0.13998485033091948,-0.012765816098645032
Pau López,Roma,24,Spain,2019/2020,24000000,19000000,Goalkeeper,it Serie A,32,32,2880.0,32.0,0.07526691712314437,-0.4699048751374044,0.17123026711730152,-0.08813721613668243,-0.11606299265848244
Pau López,Roma,25,Spain,2020/2021,17000000,10000000,Goalkeeper,it Serie A,21,20,1817.0,20.2,0.3070411161621946,-0.3484913908849842,-0.683838284878931,-0.19566555979108485,-0.2455211129575913
Paulo Gazzaniga,Tottenham,25,Argentina,2017/2018,1000000,1000000,Goalkeeper,eng Premier League,1,1,90.0,1.0,0.42670731807600876,2.5780263098128238,-2.6721003921814495,2.2265784121797685,0.6749477017350933
Paulo Gazzaniga,Tottenham,26,Argentina,2018/2019,2000000,2000000,Goalkeeper,eng Premier League,3,3,270.0,3.0,0.35092102546802,2.6459543346654524,-1.4800903797285423,0.3342101590683336,0.6939232024280275
Paulo Gazzaniga,Tottenham,27,Argentina,2019/2020,3500000,2800000,Goalkeeper,eng Premier League,18,17,1613.0,17.9,-0.8643168447357321,-0.1900414218825141,0.2850048108263397,-0.6483439908420148,-0.3085941047625303
Paulo Gazzaniga,Elche,28,Argentina,2020/2021,4000000,3000000,Goalkeeper,es La Liga,8,8,720.0,8.0,-0.6332712802948054,-0.7811366337184655,-0.40484778993643467,0.013675478165174566,-0.5308762676344968
Pepe Reina,Napoli,34,Spain,2017/2018,2000000,1000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,0.4754563533471385,-0.8960008203483134,-0.45791147863821374,1.810192497412681,-0.0376851938327763
Pepe Reina,Milan,35,Spain,2018/2019,1000000,1000000,Goalkeeper,it Serie A,4,2,330.0,3.7,-0.1407266743206589,-0.382102481197207,0.25144879087259,0.1775593469662446,-0.07942143723610298
