Player,Team,Age,Season,MV1,MV2,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Delta_MV,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Comp_eng Premier League,Comp_es La Liga,Comp_fr Ligue 1,Comp_it Serie A,Nationality_France,Nationality_Germany,Nationality_Italy,Nationality_Other,Nationality_Spain,Position_Central Midfielder,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfielder,Position_Goalkeeper,Position_Wing-Back,Position_Winger
Alfonso Pedraza,Villarreal,-0.5505411633603406,2020/2021,10.0,20.0,0.5121846149198995,24,0.3639292722938863,23.3,-0.19634554861733045,0.2886437886134979,-0.5967941862443882,100.0,0.1740170085240678,2.995732273553991,0.693147180559945,24,-0.03416746500740476,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Allan Nyom,West Brom,0.7395740941382024,2017/2018,4.5,4.5,0.5121846149198995,25,0.608453130077421,25.7,-0.9949245252700989,-1.2229070998663865,-0.3286039784977462,0.0,-0.46270254554578133,1.5040773967762742,0.0,29,0.4603541104684028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Allan Nyom,Leganes,0.997597145637911,2018/2019,3.5,3.0,-0.12622064848331552,20,-0.06990337861238505,19.0,-0.5771665281483427,-0.5224322978879041,-0.3286039784977462,-14.285714285714285,-0.6630973713743571,1.0986122886681098,-0.15415067982725827,30,0.3827176076604299,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Allan Nyom,Getafe,1.2556201971376195,2019/2020,3.5,3.2,1.0441890010892454,31,0.7346589921592453,26.9,-1.3674442003445006,-0.0800271597962315,-0.4256089472571699,-8.571428571428566,-0.6630973713743571,1.1631508098056809,-0.0896121586896872,31,0.9067486547495481,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Allan Nyom,Getafe,1.5136432486373281,2020/2021,2.5,2.0,0.7249863693876378,28,0.6231020247833471,25.8,-1.1137397830571827,-0.8542361514566633,-0.4256089472571699,-20.0,-0.931395915612703,0.6931471805599453,-0.22314355131420982,32,1.0373326849948379,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Almamy Touré,Monaco,-1.3246103178594664,2017/2018,4.0,8.0,-0.44542328018492305,13,-0.5882488835913066,13.9,-0.1788669747538515,1.173454064796852,-0.5967941862443882,100.0,-0.5566211919099272,2.0794415416798357,0.6931471805599452,21,0.09956114868081167,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Almamy Touré,Ein Frankfurt,-1.0665872663597578,2018/2019,8.0,6.5,-1.8286346842252224,6,-1.409713825177467,5.8,0.5197142662502948,0.19033153570422653,-0.5539978764975836,-18.75,-0.003914729841541999,1.8718021769015913,-0.2076393647782444,22,-0.002034540947165133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Almamy Touré,Ein Frankfurt,-0.8085642148600493,2019/2020,6.5,6.5,-0.5518241574187922,18,-0.3144272363959198,16.6,0.283494915829474,-0.34219316755427714,-0.5539978764975836,0.0,-0.16948363340398717,1.8718021769015913,0.0,23,-0.04804774838633677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Almamy Touré,Ein Frankfurt,-0.5505411633603406,2020/2021,5.5,5.5,-0.7646259118865305,8,-1.2012487851315965,7.8,0.43540823381671706,0.35418529055299675,-0.5539978764975836,0.0,-0.30269036741055494,1.7047480922384253,0.0,24,-0.1317938782675629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Ambroise Oyongo,Montpellier,-0.0344950603609234,2017/2018,0.75,0.75,-2.254238193160699,3,-1.7680483264455042,2.2,-1.8131702566560153,-0.19062844431914644,-0.5967941862443882,0.0,-1.8914280238988175,-0.2876820724517809,0.0,26,3.429481035538999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Ambroise Oyongo,Montpellier,0.22352799113878521,2018/2019,1.5,4.0,0.19298198321829202,25,0.4123833086288724,23.7,-1.0553298310120638,0.10430831440863489,-0.5967941862443882,166.66666666666669,-1.3387215618304322,1.3862943611198906,0.9808292530117262,27,1.4127927996187162,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Ambroise Oyongo,Montpellier,0.4815510426384938,2019/2020,3.5,2.8,-0.33902240295105385,21,0.05742932152374134,20.2,-1.1741146170656303,-0.23592655914418006,-0.5967941862443882,-20.000000000000004,-0.6630973713743571,1.0296194171811581,-0.22314355131420993,28,0.7785523162684292,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Ambroise Oyongo,Montpellier,0.7395740941382024,2020/2021,2.5,2.2,-1.1902294208220072,5,-1.365767141059689,6.2,-0.1659484901466005,-0.3749639185240111,-0.5967941862443882,-11.999999999999993,-0.931395915612703,0.7884573603642703,-0.12783337150988483,29,0.1545637459246386,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Ander Capa,Eibar,-0.29251811186063204,2017/2018,5.0,3.0,0.9377881238553762,25,0.5476038751451128,25.1,0.15933486682944006,-0.5224322978879042,-0.5967941862443882,-40.0,-0.37868945354431777,1.0986122886681098,-0.5108256237659905,25,-0.0603384336501973,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Ander Capa,Ath Bilbao,-0.0344950603609234,2018/2019,3.0,3.0,0.08658110598442284,17,-0.14427469019631728,18.2,-0.43594114627335534,-0.4486981082059575,-0.4256089472571699,0.0,-0.7860150997620469,1.0986122886681098,0.0,26,0.34265632357843245,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Ander Capa,Ath Bilbao,0.22352799113878521,2019/2020,7.5,6.0,1.1505898783231145,32,1.2417361165951468,31.9,0.04627232291591455,-0.19062844431915058,-0.4256089472571699,-20.0,-0.055376899328052225,1.791759469228055,-0.2231435513142097,27,-0.002562417767789724,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
